ID,Year,Month,Species,Station,Wt/h,Nt/h,Swept_area_km2/h,Lon,Lat
1,1982,5,Portunus trituberculatus,6283 ,250 ,1 ,0.13 ,119.75,37.5
2,1982,5,Octopus ocellatus,6283 ,0 ,0 ,0.13 ,119.75,37.5
3,1982,5,Loliolus,6283 ,5125 ,2686 ,0.13 ,119.75,37.5
4,1982,5,Engraulis japonicus,6283 ,30000 ,2672 ,0.13 ,119.75,37.5
5,1982,5,Larimichthys polyactis,6283 ,0 ,0 ,0.13 ,119.75,37.5
6,1982,5,Oratosquilla oratoria,6283 ,1200 ,39 ,0.13 ,119.75,37.5
7,1982,5,Portunus trituberculatus,6262 ,450 ,2 ,0.13 ,120,37.75
8,1982,5,Octopus ocellatus,6262 ,7 ,1 ,0.13 ,120,37.75
9,1982,5,Loliolus,6262 ,14 ,2 ,0.13 ,120,37.75
10,1982,5,Engraulis japonicus,6262 ,45000 ,3230 ,0.13 ,120,37.75
11,1982,5,Larimichthys polyactis,6262 ,0 ,0 ,0.13 ,120,37.75
12,1982,5,Oratosquilla oratoria,6262 ,3600 ,198 ,0.13 ,120,37.75
13,1982,5,Portunus trituberculatus,6251 ,0 ,0 ,0.13 ,119.75,37.75
14,1982,5,Octopus ocellatus,6251 ,0 ,0 ,0.13 ,119.75,37.75
15,1982,5,Loliolus,6251 ,0 ,0 ,0.13 ,119.75,37.75
16,1982,5,Engraulis japonicus,6251 ,30000 ,2500 ,0.13 ,119.75,37.75
17,1982,5,Larimichthys polyactis,6251 ,0 ,0 ,0.13 ,119.75,37.75
18,1982,5,Oratosquilla oratoria,6251 ,22 ,1 ,0.13 ,119.75,37.75
19,1982,5,Portunus trituberculatus,6241 ,0 ,0 ,0.13 ,119.55,37.75
20,1982,5,Octopus ocellatus,6241 ,55 ,1 ,0.13 ,119.55,37.75
21,1982,5,Loliolus,6241 ,55 ,7 ,0.13 ,119.55,37.75
22,1982,5,Engraulis japonicus,6241 ,555 ,62 ,0.13 ,119.55,37.75
